"Month","U.S. Air Carrier Traffic Statistics - Passenger Enplanements"
"1996-01",42023
"1996-02",43769
"1996-03",51888
"1996-04",48605
"1996-05",49818
"1996-06",51668
"1996-07",53258
"1996-08",54820
"1996-09",45590
"1996-10",49625
"1996-11",44737
"1996-12",49150
"1997-01",45176
"1997-02",43499
"1997-03",53741
"1997-04",49733
"1997-05",51105
"1997-06",53299
"1997-07",55800
"1997-08",56281
"1997-09",47048
"1997-10",50573
"1997-11",47407
"1997-12",49405
"1998-01",45128
"1998-02",44132
"1998-03",53553
"1998-04",52323
"1998-05",53045
"1998-06",55103
"1998-07",57926
"1998-08",57028
"1998-09",47639
"1998-10",52255
"1998-11",49652
"1998-12",50724
"1999-01",46364
"1999-02",45475
"1999-03",55977
"1999-04",53843
"1999-05",53860
"1999-06",57079
"1999-07",60555
"1999-08",59094
"1999-09",50327
"1999-10",55210
"1999-11",53226
"1999-12",51403
"2000-01",46946
"2000-02",48973
"2000-03",59430
"2000-04",56413
"2000-05",58663
"2000-06",61633
"2000-07",63177
"2000-08",61901
"2000-09",52445
"2000-10",56750
"2000-11",55160
"2000-12",52760
"2001-01",49995
"2001-02",48523
"2001-03",59647
"2001-04",57027
"2001-05",57298
"2001-06",60298
"2001-07",63147
"2001-08",63635
"2001-09",34801
"2001-10",44219
"2001-11",44884
"2001-12",45803
"2002-01",43622
"2002-02",43394
"2002-03",54556
"2002-04",50796
"2002-05",52677
"2002-06",55429
"2002-07",57952
"2002-08",57961
"2002-09",45498
"2002-10",53674
"2002-11",50348
"2002-12",55753
"2003-01",49034
"2003-02",46557
"2003-03",56282
"2003-04",52381
"2003-05",54559
"2003-06",58586
"2003-07",63071
"2003-08",61329
"2003-09",49936
"2003-10",55852
"2003-11",52938
"2003-12",56202
"2004-01",50323
"2004-02",51528
"2004-03",61421
"2004-04",60163
"2004-05",59838
"2004-06",64530
"2004-07",68179
"2004-08",65581
"2004-09",53998
"2004-10",60779
"2004-11",58020
"2004-12",59654
"2005-01",55230
"2005-02",53658
"2005-03",67107
"2005-04",62336
"2005-05",64844
"2005-06",67921
"2005-07",71472
"2005-08",67562
"2005-09",57387
"2005-10",60442
"2005-11",59195
"2005-12",60019
"2006-01",56149
"2006-02",53870
"2006-03",66523
"2006-04",63694
"2006-05",64885
"2006-06",67726
"2006-07",70066
"2006-08",66990
"2006-09",56910
"2006-10",62089
"2006-11",60743
"2006-12",61156
"2007-01",57653
"2007-02",54506
"2007-03",67766
"2007-04",65384
"2007-05",67236
"2007-06",70235
"2007-07",73056
"2007-08",71963
"2007-09",59760
"2007-10",64684
"2007-11",62405
"2007-12",61341
"2008-01",58280
"2008-02",57519
"2008-03",68271
"2008-04",63668
"2008-05",66537
"2008-06",68445
"2008-07",70998
"2008-08",68337
"2008-09",54703
"2008-10",60198
"2008-11",54492
"2008-12",57794
"2009-01",52257
"2009-02",50217
"2009-03",61403
"2009-04",59966
"2009-05",60167
"2009-06",64005
"2009-07",68604
"2009-08",65549
"2009-09",55168
"2009-10",59312
"2009-11",55285
"2009-12",57357
"2010-01",53043
"2010-02",49091
"2010-03",62735
"2010-04",60145
"2010-05",61941
"2010-06",65515
"2010-07",69078
"2010-08",66814
"2010-09",57842
"2010-10",62648
"2010-11",58653
"2010-12",59040
"2011-01",54179
"2011-02",50554
"2011-03",64164
"2011-04",61033
"2011-05",64348
"2011-06",66777
"2011-07",70590
"2011-08",66953
"2011-09",58629
"2011-10",61748
"2011-11",58813
"2011-12",59590
"2012-01",54926
"2012-02",53576
"2012-03",65008
"2012-04",61992
"2012-05",64134
"2012-06",67144
"2012-07",69801
"2012-08",66911